id,title,domain,object_type,authority_level,approval_status,lifecycle_status,platform_scope,confidence,verification_required,source_ref,source_location,keywords,collection_file
ACA-CAT-0001,پادکست: روانشناسی معامله‌گری موفق,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.podcasts[0] (id=p1),پادکست|روانشناسی|روانشناسی معامله‌گری موفق,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0002,پادکست: تحلیل تکنیکال پیشرفته,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.podcasts[1] (id=p2),پادکست|تحلیل|تحلیل تکنیکال پیشرفته,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0003,پادکست: مدیریت سرمایه و ریسک,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.podcasts[2] (id=p3),پادکست|معامله‌گری|مدیریت سرمایه و ریسک,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0004,پادکست: اشتباهات رایج معامله‌گران,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.podcasts[3] (id=p4),پادکست|معامله‌گری|اشتباهات رایج معامله‌گران,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0005,پادکست: استراتژی پرایس اکشن,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.podcasts[4] (id=p5),پادکست|تحلیل|استراتژی پرایس اکشن,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0006,پادکست: فارکس یا کریپتو؟,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.podcasts[5] (id=p6),پادکست|معامله‌گری|فارکس یا کریپتو؟,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0101,کتاب صوتی: معامله‌گر منضبط,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.books[0] (id=b1),کتاب صوتی|معامله‌گر منضبط|مارک داگلاس,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0102,کتاب صوتی: جادوگران بازار,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.books[1] (id=b2),کتاب صوتی|جادوگران بازار|جک شواگر,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0103,کتاب صوتی: تحلیل تکنیکال,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.books[2] (id=b3),کتاب صوتی|تحلیل تکنیکال|جان مورفی,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0104,کتاب صوتی: ذهن پول‌ساز,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.books[3] (id=b4),کتاب صوتی|ذهن پول‌ساز|ناپلئون هیل,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0105,کتاب صوتی: سرمایه‌گذار هوشمند,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.books[4] (id=b5),کتاب صوتی|سرمایه‌گذار هوشمند|بنجامین گراهام,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0106,کتاب صوتی: بازی برتر,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.books[5] (id=b6),کتاب صوتی|بازی برتر|سبحان صمدی,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-OPS-0001,معرفی آکادمی سبحان صمدی,academy,OPERATIONAL_FACT,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,index.html,"index.html:57-70,200-212",آکادمی|سبحان صمدی|معرفی|خدمات,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-OPS-0002,منتورینگ اختصاصی آکادمی,academy,OPERATIONAL_FACT,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,index.html,index.html:187-212,منتورینگ|ثبت‌نام|VIP|جلسه خصوصی,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-OPS-0003,کار با پخش‌کننده‌ی صوتی سایت آکادمی,academy,PROCEDURE,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,README.md,README.md:امکانات پلیر,پلیر|پخش|سرعت پخش|تکرار,knowledge_base/academy/catalog/academy_site_catalog.json
CONF-0001,حجم واقعی محتوای صوتی منتشرشده‌ی آکادمی,academy,CONFLICT_RECORD,,OPEN,,,,,,,,knowledge_base/conflicts/conflict_registry.json
EXT-CONC-0001,Smart Money Concepts (SMC),general_trading,CONCEPT,EXTERNAL_METHODOLOGY,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.7,True,tools/seed_governance.py,EXTERNAL[0],اسمارت مانی|SMC|order block|liquidity,knowledge_base/general_trading/external_methodologies_quarantine.json
EXT-CONC-0002,ICT,general_trading,CONCEPT,EXTERNAL_METHODOLOGY,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.7,True,tools/seed_governance.py,EXTERNAL[1],ICT|fair value gap|FVG,knowledge_base/general_trading/external_methodologies_quarantine.json
EXT-CONC-0003,ایچیموکو,general_trading,CONCEPT,EXTERNAL_METHODOLOGY,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.7,True,tools/seed_governance.py,EXTERNAL[2],ایچیموکو|ichimoku|کومو,knowledge_base/general_trading/external_methodologies_quarantine.json
EXT-CONC-0004,امواج الیوت,general_trading,CONCEPT,EXTERNAL_METHODOLOGY,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.7,True,tools/seed_governance.py,EXTERNAL[3],الیوت|elliott wave|موج,knowledge_base/general_trading/external_methodologies_quarantine.json
EXT-CONC-0005,وایکاف,general_trading,CONCEPT,EXTERNAL_METHODOLOGY,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.7,True,tools/seed_governance.py,EXTERNAL[4],وایکاف|wyckoff|انباشت,knowledge_base/general_trading/external_methodologies_quarantine.json
EXT-CONC-0006,الگوهای هارمونیک,general_trading,CONCEPT,EXTERNAL_METHODOLOGY,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.7,True,tools/seed_governance.py,EXTERNAL[5],هارمونیک|گارتلی|harmonic,knowledge_base/general_trading/external_methodologies_quarantine.json
EXT-CONC-0007,اردر فلو و ولوم پروفایل,general_trading,CONCEPT,EXTERNAL_METHODOLOGY,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.7,True,tools/seed_governance.py,EXTERNAL[6],order flow|volume profile|فوت پرینت,knowledge_base/general_trading/external_methodologies_quarantine.json
GEN-DEF-0001,پیپ (Pip),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.9,True,tools/seed_general_trading.py,TERMS[0],پیپ|pip|واحد قیمت,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0002,پوینت (Point),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.9,True,tools/seed_general_trading.py,TERMS[1],پوینت|point|دیجیت,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0003,اسپرد (Spread),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.9,True,tools/seed_general_trading.py,TERMS[2],اسپرد|spread|bid|ask,knowledge_base/general_trading/glossary/general_trading_glossary.json
GEN-DEF-0004,لات (Lot),general_trading,GLOSSARY,GENERAL_KNOWLEDGE,PENDING_VERIFICATION,PENDING_REVIEW,NOT_APPLICABLE,0.85,True,tools/seed_general_trading.py,TERMS[3],لات|lot|حجم معامله|volume,knowledge_base/general_trading/glossary/general_trading_glossary.json
