id,term_fa,term_en,definition,domain,authority_level,approval_status
GEN-DEF-0001,پیپ (Pip),Pip,کوچک‌ترین واحد متعارف تغییر قیمت در جفت‌ارزها. در اغلب جفت‌ارزها پیپ برابر رقم چهارم اعشار (۰.۰۰۰۱) است و در جفت‌ارزهای دارای ین ژاپن برابر رقم دوم اعشار (۰.۰۱).,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0002,پوینت (Point),Point,کوچک‌ترین تغییر ممکن در قیمت بر اساس تعداد ارقام اعشار نماد. در حساب‌های ۵ رقمی، هر پیپ برابر ۱۰ پوینت است.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0003,اسپرد (Spread),Spread,اختلاف قیمت خرید (Ask) و قیمت فروش (Bid) یک نماد. اسپرد هزینه‌ی ورود به معامله است و بسته به نماد، زمان بازار و بروکر تغییر می‌کند.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0004,لات (Lot),Lot,واحد اندازه‌ی معامله. در فارکس یک لات استاندارد معمولاً ۱۰۰٫۰۰۰ واحد ارز پایه است؛ مینی‌لات ۰.۱ و میکرولات ۰.۰۱ لات. اندازه‌ی قرارداد برای هر نماد را بروکر تعیین می‌کند.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0005,اندازه‌ی قرارداد (Contract Size),Contract Size,تعداد واحدهای دارایی پایه در یک لات از یک نماد مشخص. مقدار آن در مشخصات نماد (Symbol Specification) در پلتفرم قابل مشاهده است و بین بروکرها می‌تواند متفاوت باشد.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0006,اهرم (Leverage),Leverage,نسبتی که به معامله‌گر اجازه می‌دهد با سرمایه‌ی کمتر، حجم بزرگ‌تری معامله کند. اهرم مقدار مارجین موردنیاز را تعیین می‌کند؛ اهرم سود و زیان را به یک اندازه بزرگ می‌کند.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0007,مارجین (Margin),Margin,بخشی از موجودی حساب که هنگام باز کردن معامله به‌عنوان وثیقه قفل می‌شود. مقدار آن به حجم معامله، اهرم و اندازه‌ی قرارداد بستگی دارد.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0008,مارجین آزاد و سطح مارجین,Free Margin / Margin Level,مارجین آزاد یعنی پولی که برای باز کردن معامله‌ی جدید در دسترس است (اکوئیتی منهای مارجین استفاده‌شده). سطح مارجین نسبت اکوئیتی به مارجین استفاده‌شده بر حسب درصد است و مبنای هشدار مارجین کال و استاپ‌اوت قرار می‌گیرد.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0009,بالانس، اکوئیتی و شناور,Balance / Equity / Floating P&L,بالانس موجودی حساب بدون احتساب معاملات باز است. اکوئیتی برابر بالانس به‌علاوه‌ی سود یا زیان شناور معاملات باز است. با بسته شدن معامله، سود/زیان شناور وارد بالانس می‌شود.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0010,افت سرمایه (Drawdown),Drawdown,میزان کاهش سرمایه از بالاترین نقطه‌ی رسیده تا پایین‌ترین نقطه‌ی بعدی، معمولاً بر حسب درصد. معیار اصلی سنجش ریسک یک روش معاملاتی است.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0011,سواپ (Swap),Swap,بهره‌ی شبانه‌ای که بابت نگه‌داشتن معامله پس از پایان روز معاملاتی به حساب اضافه یا از آن کسر می‌شود. مقدار و زمان محاسبه‌ی آن به بروکر و نماد بستگی دارد و معمولاً در شب چهارشنبه سه‌برابر محاسبه می‌شود.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0012,کمیسیون (Commission),Commission,هزینه‌ای که بروکر بابت اجرای معامله دریافت می‌کند، معمولاً در حساب‌های با اسپرد پایین. کمیسیون جدا از اسپرد محاسبه می‌شود.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0013,لغزش قیمت (Slippage),Slippage,اختلاف بین قیمت درخواستی و قیمت اجراشده‌ی معامله. در زمان اخبار مهم، نقدشوندگی پایین یا بازگشایی بازار بیشتر رخ می‌دهد و می‌تواند به نفع یا ضرر معامله‌گر باشد.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0014,نقدشوندگی (Liquidity),Liquidity,توانایی بازار برای جذب سفارش بدون تغییر شدید قیمت. نقدشوندگی در ساعات همپوشانی سشن‌های بزرگ بیشتر و در ساعات پایانی هفته و تعطیلات کمتر است.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0015,نوسان (Volatility),Volatility,میزان و سرعت تغییرات قیمت در یک بازه‌ی زمانی. نوسان بالا هم فرصت و هم ریسک را افزایش می‌دهد و بر فاصله‌ی مناسب حد ضرر اثر می‌گذارد.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0016,نسبت ریسک به ریوارد,Risk/Reward Ratio,نسبت میزان ریسک یک معامله (فاصله تا حد ضرر) به میزان سود هدف (فاصله تا حد سود). این نسبت در کنار درصد برد، سودآوری بلندمدت یک روش را تعیین می‌کند.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0017,تعیین حجم معامله (Position Sizing),Position Sizing,محاسبه‌ی حجم معامله بر اساس درصد ریسک مجاز از سرمایه و فاصله‌ی حد ضرر، به‌طوری که زیان یک معامله از مقدار ازپیش‌تعیین‌شده بیشتر نشود.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0018,حد ضرر (Stop Loss),Stop Loss,سفارشی که معامله را در قیمت مشخصی می‌بندد تا زیان محدود شود. حد ضرر بخش جدانشدنی مدیریت ریسک است و باید پیش از ورود مشخص شود.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0019,حد سود (Take Profit),Take Profit,سفارشی که معامله را در قیمت هدف می‌بندد و سود را قطعی می‌کند.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0020,سفارش بازار و سفارش معلق,Market Order / Pending Order,سفارش بازار بلافاصله با بهترین قیمت موجود اجرا می‌شود. سفارش معلق (Buy/Sell Limit و Buy/Sell Stop) در قیمت ازپیش‌تعیین‌شده فعال می‌شود: Limit برای ورود در قیمت بهتر از قیمت فعلی و Stop برای ورود پس از عبور قیمت از یک سطح.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0021,سشن‌های معاملاتی,Trading Sessions,بازار فارکس در سه سشن اصلی آسیا، لندن و نیویورک فعال است. بیشترین حجم و نوسان معمولاً در همپوشانی لندن و نیویورک رخ می‌دهد. ساعت‌ها بر اساس منطقه‌ی زمانی سرور بروکر نمایش داده می‌شوند.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0022,تقویم اقتصادی و اخبار,Economic Calendar / News,تقویم اقتصادی زمان انتشار داده‌های مهم اقتصادی را نشان می‌دهد. در زمان اخبار پرتأثیر، اسپرد افزایش و نقدشوندگی کاهش می‌یابد و احتمال لغزش قیمت بیشتر می‌شود.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
MT-CONC-0001,Bid و Ask در متاتریدر,,Bid: قیمت فروش شما. Ask: قیمت خرید شما. اختلاف این دو، اسپرد است.,metatrader,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
MT-CONC-0002,اسپرد در متاتریدر و نمایش آن,,اسپرد = Ask − Bid، بر حسب پوینت.,metatrader,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
MT-CONC-0003,پوینت، دیجیت و نحوه‌ی نمایش قیمت,,پوینت = کوچک‌ترین تغییر رقم آخر قیمت؛ پیپ = ۱۰ پوینت در نمادهای ۵ رقمی.,metatrader,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
MT-CONC-0004,Tick Size و Tick Value,,Tick Size: کوچک‌ترین گام قیمت. Tick Value: ارزش پولی یک تیک برای یک لات.,metatrader,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
MT-CONC-0005,اندازه‌ی قرارداد و محدودیت‌های حجم,,Contract Size، Volume Min/Max/Step: پارامترهای حجم که بروکر برای هر نماد تعیین می‌کند.,metatrader,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
